Country Name,Personnel,Spending_USD,Spending_GDP_percent,SIPRI_Spending_2024,Textile_Demand_Tons
Russian Federation,1454000.0,4462125000000.0,4.14471713241985,4462125000000.0,8724.0
Rwanda,35000.0,141432500000.0,1.47371574450349,175.9243805853525,210.0
Saudi Arabia,282000.0,242094000000.0,8.7921741101353,80330.66666666667,1692.0
Sudan,144000.0,50578000000.0,0.975842222955387,,864.0
Senegal,19000.0,198904000000.0,1.40872642077366,514.941285308382,114.0
Singapore,59000.0,13516475000.0,2.80306272990798,15061.025802203067,354.0
Sierra Leone,9000.0,319600000.0,0.486095493916065,36.44704886254763,54.0
El Salvador,42000.0,343900000.0,1.37995002386364,425.19999999999993,252.0
"Somalia, Fed. Rep.",14000.0,98156600.0,1.1376518312471,98156600.0,84.0
Serbia,32000.0,132308291021.0,2.29536613396667,2322.8301016066002,192.0
South Sudan,53000.0,16792600000.0,1.86635872996114,2027.890373099954,318.0
Slovak Republic,18000.0,1796000000.0,1.9041442947824,1796000000.0,108.0
Slovenia,7000.0,498000000.0,1.0654982010929,951.9049998810118,42.0
Sweden,15000.0,57746000000.0,1.15009466283262,12040.289402752165,90.0
Seychelles,0.0,332973000.0,1.36712279790406,26.860869691808244,0.0
Chad,45000.0,185800000000.0,2.21192688117357,557.7112401406976,270.0
Togo,10000.0,94335000000.0,2.16399918335325,195.34734922255186,60.0
Thailand,455000.0,228281500000.0,1.46077928107965,5522.411647480037,2730.0
Tajikistan,17000.0,795900000.0,0.947973986993497,246.39347302058226,102.0
Timor-Leste,2000.0,38456000.0,1.77790106333796,38456000.0,12.0
Trinidad and Tobago,5000.0,1151575000.0,0.812607258583509,234.5447821557964,30.0
Tunisia,48000.0,3241800000.0,2.71275567542328,1313.6832631545112,288.0
Turkiye,512000.0,110843945131.65,2.19555218691023,110843945131.65,3072.0
Tanzania,28000.0,1565982000000.0,1.07713241782149,920.8498858687549,168.0
Uganda,46000.0,3659830000000.0,2.46768517919382,1116.7618287083249,276.0
Ukraine,298000.0,184455207912.0,4.40031470276707,64704.99002547817,1788.0
Uruguay,22000.0,45811739043.0,2.05692189335606,1736.764487451005,132.0
United States,1395000.0,778397200000.0,3.64518757294704,778397200000.0,8370.0
"Venezuela, RB",343000.0,8.1449e+19,1.57552271230291,8.1449e+19,2058.0
South Africa,89000.0,53208400000.0,0.956510732317856,2835.9560432365183,534.0
Zambia,16000.0,3878600000.0,1.16572196732911,349.668209787907,96.0
Zimbabwe,51000.0,11866800000.0,0.974989311324521,98.39429271626754,306.0
